Name;ID;NAME;MAKRO;wartosc W;WOJEWODZTWO
Miasto Kraków;PL213;MIASTO KRAKÓW;Makroregion Południowy;7;Małopolskie
Krakowski;PL214;KRAKOWSKI;Makroregion Południowy;7;Małopolskie
Tarnowski;PL217;TARNOWSKI;Makroregion Południowy;7;Małopolskie
Nowosądecki;PL218;NOWOSĄDECKI;Makroregion Południowy;7;Małopolskie
Nowotarski;PL219;NOWOTARSKI;Makroregion Południowy;7;Małopolskie
Oświęcimski;PL21A;OŚWIĘCIMSKI;Makroregion Południowy;7;Małopolskie
Częstochowski;PL224;CZĘSTOCHOWSKI;Makroregion Południowy;7;Śląskie
Bielski;PL225;BIELSKI;Makroregion Południowy;7;Śląskie
Rybnicki;PL227;RYBNICKI;Makroregion Południowy;7;Śląskie
Bytomski;PL228;BYTOMSKI;Makroregion Południowy;7;Śląskie
Gliwicki;PL229;GLIWICKI;Makroregion Południowy;7;Śląskie
Katowicki;PL22A;KATOWICKI;Makroregion Południowy;7;Śląskie
Sosnowiecki;PL22B;SOSNOWIECKI;Makroregion Południowy;7;Śląskie
Tyski;PL22C;TYSKI;Makroregion Południowy;7;Śląskie
Pilski;PL411;PILSKI;Makroregion Północno-zachodni;2;Wielkopolskie
Koniński;PL414;KONIŃSKI;Makroregion Północno-zachodni;2;Wielkopolskie
Miasto Poznań;PL415;MIASTO POZNAŃ;Makroregion Północno-zachodni;2;Wielkopolskie
Kaliski;PL416;KALISKI;Makroregion Północno-zachodni;2;Wielkopolskie
Leszczyński;PL417;LESZCZYŃSKI;Makroregion Północno-zachodni;2;Wielkopolskie
Poznański;PL418;POZNAŃSKI;Makroregion Północno-zachodni;2;Wielkopolskie
Miasto Szczecin;PL424;MIASTO SZCZECIN;Makroregion Północno-zachodni;2;Zachodniopomorskie
Koszaliński;PL426;KOSZALIŃSKI;Makroregion Północno-zachodni;2;Zachodniopomorskie
Szczecinecko-pyrzycki;PL427;SZCZECINECKO-PYRZYCKI;Makroregion Północno-zachodni;2;Zachodniopomorskie
