"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,859;0,519;-0,168;1,882;9,997;1;8,036;11,955;0,925;0,05;0,802;0,991;0,8;0,12;0,519;0,971;6,687;2,133;3,746;11,976
"Miasto Szczecin";-0,321;0,543;-1,355;0,782;9,989;0,999;8,034;11,951;0,925;0,05;0,801;0,99;0,798;0,122;0,514;0,972;7,176;2,267;3,998;12,762
"Bialski";0,045;0,571;-1,017;1,212;9,788;0,951;7,934;11,646;0,923;0,052;0,797;0,99;0,743;0,131;0,455;0,949;7,217;2,658;3,736;13,99
"Łomżynski";0,473;0,565;-0,626;1,609;9,934;1,011;7,971;11,919;0,925;0,05;0,8;0,99;0,791;0,124;0,504;0,97;8,374;2,658;4,672;14,9
"Wrocławski";1,812;0,667;0,459;3,075;9,745;1,05;7,667;11,786;0,893;0,071;0,716;0,986;0,756;0,132;0,462;0,961;10,87;3,764;5,645;20,176
"Nowotarski";0,491;0,441;-0,357;1,372;9,991;1,004;8,019;11,951;0,926;0,049;0,806;0,99;0,8;0,12;0,519;0,972;4,418;1,406;2,461;7,805
"Oświęcimski";-0,229;0,513;-1,22;0,805;9,994;1,002;8,017;11,966;0,926;0,05;0,803;0,991;0,8;0,121;0,516;0,972;6,268;2,005;3,503;11,091
"Zielonogórski";0,374;0,505;-0,612;1,384;9,962;1,023;7,93;11,939;0,925;0,05;0,798;0,99;0,798;0,121;0,516;0,972;5,992;1,902;3,338;10,625
"Kaliski";1,107;0,519;0,088;2,115;9,964;1,011;7,986;11,935;0,924;0,051;0,798;0,99;0,796;0,121;0,515;0,971;6,593;2,101;3,665;11,679
"Poznański";1,857;0,556;0,751;2,928;9,911;1,022;7,896;11,901;0,919;0,055;0,782;0,99;0,79;0,125;0,499;0,97;7,673;2,455;4,266;13,694
"Siedlecki";0,826;0,665;-0,494;2,121;9,683;1,036;7,641;11,712;0,899;0,066;0,736;0,986;0,743;0,138;0,434;0,958;10,035;3,719;4,675;18,971
"Ostrołęcki";0,897;0,521;-0,136;1,92;9,966;1,009;7,991;11,954;0,924;0,05;0,799;0,99;0,796;0,123;0,508;0,972;6,685;2,133;3,736;11,872
"Białostocki";0,313;0,438;-0,546;1,176;9,973;1,009;7,991;11,94;0,926;0,049;0,804;0,99;0,797;0,122;0,516;0,971;4,296;1,349;2,402;7,59
"Miasto Kraków";0,698;0,591;-0,443;1,876;9,967;1,008;7,974;11,924;0,924;0,051;0,797;0,99;0,799;0,12;0,516;0,972;9,829;3,135;5,468;17,48
