"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,641;0,047;0,553;0,737;-0,227;0,067;-0,354;-0,086;0,962;0,021;0,911;0,992;0,957;0,029;0,883;0,995;0,128;0,018;0,099;0,167
"Miasto Szczecin";0,335;0,048;0,24;0,429;-0,51;0,086;-0,684;-0,343;0,953;0,023;0,899;0,987;0,924;0,042;0,821;0,983;0,154;0,021;0,118;0,201
"Bialski";-0,2;0,268;-0,626;0,128;-0,18;0,273;-0,625;0,121;0,912;0,074;0,73;0,991;0,943;0,056;0,794;0,996;0,119;0,017;0,091;0,157
"Łomżynski";-0,214;0,052;-0,317;-0,114;0,387;0,053;0,283;0,492;0,951;0,028;0,885;0,989;0,965;0,024;0,906;0,996;0,127;0,017;0,097;0,166
"Wrocławski";0,032;0,046;-0,058;0,123;-0,899;0,112;-1,126;-0,688;0,969;0,018;0,926;0,993;0,911;0,053;0,786;0,985;0,161;0,022;0,124;0,21
"Nowotarski";0,574;0,053;0,469;0,678;-0,148;0,044;-0,234;-0,06;0,943;0,032;0,866;0,988;0,973;0,019;0,926;0,997;0,117;0,016;0,09;0,152
"Oświęcimski";0,271;0,049;0,177;0,368;-0,559;0,063;-0,683;-0,435;0,959;0,023;0,904;0,991;0,961;0,027;0,893;0,995;0,152;0,021;0,117;0,197
"Zielonogórski";-0,128;0,051;-0,226;-0,024;-0,766;0,067;-0,896;-0,632;0,957;0,025;0,897;0,991;0,958;0,028;0,888;0,995;0,145;0,02;0,111;0,189
"Kaliski";0,308;0,062;0,189;0,432;-0,354;0,062;-0,479;-0,237;0,942;0,031;0,87;0,987;0,959;0,027;0,891;0,995;0,129;0,018;0,098;0,168
"Poznański";-0,108;0,308;-0,44;0,444;0,042;0,161;-0,33;0,183;0,881;0,087;0,657;0,986;0,956;0,049;0,816;0,998;0,107;0,016;0,081;0,142
"Siedlecki";-0,06;0,041;-0,141;0,02;0,371;0,074;0,238;0,526;0,969;0,02;0,919;0,996;0,946;0,038;0,848;0,993;0,109;0,015;0,084;0,142
